id,trigger,conditions,script,text,options,notes
stsec_ChOneQuestProbe,DialogOptionSelected,$option == stsec_ChOneCallCont_opt_probe,SetOptionColor stsec_ChOneCallCont_opt_yes highlight ShowDefaultVisual,"""Well, it *seems* to be harmless, though… I should note, it isn’t particularly difficult to hide malicious code. Finding it is difficult even when you have the source code, which we don’t have.""","stsec_ChOneCallCont_opt_yes:""What if she really does need our help?""
stsec_ChOneCallCont_opt_no:""It is too high of a risk indeed.""",
stsec_ChOneQuestStartEnd,DialogOptionSelected,$option == stsec_ChOneCallCont_opt_end2,"$option = stsec_ChOneCallCont_opt_end1
FireBest DialogOptionSelected",,,
stsec_ChOneQuestStartEnd2,DialogOptionSelected,$option == stsec_ChOneCallCont_opt_end1,"EndConversation
BeginMission stsec_chone
Call $global.stsec_chone_ref updateData
$global.stsec_chone_notFoundLily = true
FireAll PopulateOptions",,,
stsec_ChOneQuestAskRec,PopulateOptions,"$id == station_galatia_academy
$global.stsec_chone_notFoundLily == true
$global.stsec_chone_madeRecAngry == false",,,stsec_ChOneQuestFL_opt_ask_receptionist:Talk with the receptionist,
stsec_ChOneQuestAskRec_mad,PopulateOptions,"$id == station_galatia_academy
$global.stsec_chone_notFoundLily == true
$global.stsec_chone_madeRecAngry == true",,,stsec_ChOneQuestFL_opt_ask_receptionist_mad:Talk with the receptionist,
stsec_ChOneQuestAskRecStart,DialogOptionSelected,$option == stsec_ChOneQuestFL_opt_ask_receptionist,"BeginConversation stsec_ga_receptionist
$stsec_chone_talkingWithRec = true
FireAll STSEC_Receptionist","You go up to the receptionist to inquire about the Academy – though, your end goal is, of course, obtaining access to an Academy device.

""Good evening, $PlayerSirOrMadam. How may I be of assistance?""
",,
stsec_ChOneQuestAskRecStart_mad,DialogOptionSelected,$option == stsec_ChOneQuestFL_opt_ask_receptionist_mad,"BeginConversation stsec_ga_receptionist
$stsec_chone_talkingWithRec = true
FireAll STSEC_Receptionist","You go up to the receptionist to inquire about the Academy – though the receptionist is clearly not amused.

""...you again?""
",,
stsec_ChOneQuestAskRec_InqNeutral,STSEC_Receptionist,"!RepGTE independent COOPERATIVE
$stsec_chone_talkingWithRec_learntnetwork == false",,,"stsec_ChOneQuestFL_rec_opt_asknetwork_notknown:""Can you tell me about the Academy network and if I can access it somewhere?""",
stsec_ChOneQuestAskRec_InqKnown,STSEC_Receptionist,"RepGTE independent COOPERATIVE
$stsec_chone_talkingWithRec_learntnetwork == false","SetTooltip stsec_ChOneQuestFL_rec_opt_asknetwork_known ""Due to your reputation by the Academy, the receptionist seems more open about sharing information with you.""",,"stsec_ChOneQuestFL_rec_opt_asknetwork_known:""Could you tell me more about the Academy network?""",
stsec_ChOneQuestAskRec_AskNice,STSEC_Receptionist,$stsec_chone_talkingWithRec_askednicely == false,,,"stsec_ChOneQuestFL_rec_opt_asknicely:""Could I quickly do something on your computer?""",
stsec_ChOneQuestAskRec_AskNiceAgain,STSEC_Receptionist,"$stsec_chone_talkingWithRec_askednicely == true
$stsec_chone_talkingWithRec_askednicelyagain == false",,,"stsec_ChOneQuestFL_recagain_opt_asknicely:""Pretty please?""",
stsec_ChOneQuestAskRec_AskBad,STSEC_Receptionist,$stsec_chone_talkingWithRec_askedbadly == false,,,"stsec_ChOneQuestFL_rec_opt_askthreaten:""Give me access to your computer or else.""",
stsec_ChOneQuestAskRec_AskBadAgain,STSEC_Receptionist,"$stsec_chone_talkingWithRec_askedbadly == true
$stsec_chone_talkingWithRec_askedbadlyagain == false
$player.fleetPoints > 50
",,,"stsec_ChOneQuestFL_recagain_opt_askthreaten:""If you do not give me access, I will blow this entire station into pieces!""",
stsec_ChOneQuestAskRec_AskBadAgainWeak,STSEC_Receptionist,"$stsec_chone_talkingWithRec_askedbadly == true
$stsec_chone_talkingWithRec_askedbadlyagain == false
$player.fleetPoints <= 50",,,"stsec_ChOneQuestFL_recagain_opt_askthreaten_weak:""If you do not give me access, I will blow this entire station into pieces.""",
stsec_ChOneQuestAskRec_AskSpecial,STSEC_Receptionist,$stsec_chone_talkingWithRec_asked == false,"SetStoryOption stsec_ChOneQuestFL_rec_opt_askspecial general ""Convinced the receptionist to let you use her computer.""
SetTooltip stsec_ChOneQuestFL_rec_opt_askspecial ""Convince her that you’re just a well-meaning IT specialist.""",,"stsec_ChOneQuestFL_rec_opt_askspecial:""I am part of the Academy’s IT department and we are conducting a systems check."" (lie)",
stsec_ChOneQuestAskRec_AskSpecialHated,STSEC_Receptionist,$stsec_chone_talkingWithRec_asked == true,"SetStoryOption stsec_ChOneQuestFL_recagain_opt_askspecial general ""Convinced the receptionist to let you use her computer.""
SetTooltip stsec_ChOneQuestFL_recagain_opt_askspecial ""Tried to convince her that you’re just a well-meaning IT specialist.""",,"stsec_ChOneQuestFL_recagain_opt_askspecial:""I am part of the Academy’s IT department and we are conducting a systems check."" (lie)",
stsec_ChOneQuestAskRec_Leave,STSEC_Receptionist,,,,stsec_ChOneQuestFL_rec_opt_leave:Leave,
stsec_ChOneQuestAskRec_InqNeutral_resp,DialogOptionSelected,"$option == stsec_ChOneQuestFL_rec_opt_asknetwork_notknown
","$stsec_chone_talkingWithRec_learntnetwork = true
FireAll STSEC_Receptionist","The receptionist looks up to you, a bit confused. ""I… am afraid that is classified information, $PlayerSirOrMadam. Not to discredit your standing, it’s just that we have safety protocols – I’m sure you understand.""",,
stsec_ChOneQuestAskRec_InqKnown_resp,DialogOptionSelected,"$option == stsec_ChOneQuestFL_rec_opt_asknetwork_known
","$stsec_chone_talkingWithRec_learntnetwork = true
$global.stsec_chone_gotLibraryDirections = true
FireAll STSEC_Receptionist","""Well, if you’re meaning to send an e-mail to an academy worker or student, you can use the public computers in the Library Academia."" She makes some not particularly easy to understand gestures, trying to show you how to get to the library. ""It’s at the end of the hallway to the right.""",,
stsec_ChOneQuestAskRec_AskNice_resp,DialogOptionSelected,"$option == stsec_ChOneQuestFL_rec_opt_asknicely
","$stsec_chone_talkingWithRec_askednicely = true
$stsec_chone_talkingWithRec_asked = true
FireAll STSEC_Receptionist","""Sorry, but access to Academy computers is only for employees and academicians.""",,
stsec_ChOneQuestAskRec_AskBad_resp,DialogOptionSelected,"$option == stsec_ChOneQuestFL_rec_opt_askthreaten
","$global.stsec_chone_madeRecAngry = true
$stsec_chone_talkingWithRec_askedbadly = true
$stsec_chone_talkingWithRec_asked = true
AdjustRepActivePerson SUSPICIOUS -5
FireAll STSEC_Receptionist","""Please calm yourself, $PlayerSirOrMadam, or I am going to have to call security.""",,
stsec_ChOneQuestAskRec_AskSpecial_resp,DialogOptionSelected,$option == stsec_ChOneQuestFL_rec_opt_askspecial,FireAll STSEC_Receptionist,,,
stsec_ChOneQuestAskRec_Leave_resp,DialogOptionSelected,$option == stsec_ChOneQuestFL_rec_opt_leave,"EndConversation
FireAll PopulateOptions",,,
stsec_ChOneQuestAskRec_AskNiceAgain_resp,DialogOptionSelected,"$option == stsec_ChOneQuestFL_recagain_opt_asknicely
","$global.stsec_chone_madeRecAngry = true
$stsec_chone_talkingWithRec_askednicelyagain = true
FireAll STSEC_Receptionist","""I am sorry, $PlayerSirOrMadam, but as I said, access to Academy devices is restricted. I’m afraid I can’t help you.""",,
stsec_ChOneQuestAskRec_AskBadAgain_resp,DialogOptionSelected,"$option == stsec_ChOneQuestFL_recagain_opt_askthreaten
","$stsec_chone_talkingWithRec_askedbadlyagain = true
AdjustRepActivePerson SUSPICIOUS -15
AdjustRep independent -5","The receptionist presses a button under her table, looking over to you after. ""I am calling security to escort you out, please stay where you are.""

Before you’re even able to consider another course of action, perhaps an even bigger threat which they would definitely listen to this time, two guards come up to you. Although one could attempt to resist, you realise that any attempts would be either futile or counterproductive, and you simply let them escort you out of the premises. Suffice to say, the receptionist will probably not be talking to you anymore.","stsec_ChOneQuestFL_recagain_opt_leave:Stay quiet and go somewhere else
stsec_ChOneQuestFL_recagain_opt_leaveflavour:""You will regret this!""",
stsec_ChOneQuestAskRec_AskBadAgainWeak_resp,DialogOptionSelected,"$option == stsec_ChOneQuestFL_recagain_opt_askthreaten_weak
","$stsec_chone_talkingWithRec_askedbadlyagain = true
AdjustRepActivePerson SUSPICIOUS -15
AdjustRep independent -5","The receptionist stares at you, visibly confused, though you can almost sense a smirk on his face. ""…with what fleet, $PlayerSirOrMadam?""

You realise that the amount of combat ships you have can be counted on one hand – perhaps threatening to blow up the Academy isn’t the greatest idea when you have nothing to back up your words. You have no choice but to leave in shame, your bluff called out.",stsec_ChOneQuestFL_recagain_opt_leave:Leave,
stsec_ChOneQuestAskRec_AskSpecialHated_resp,DialogOptionSelected,$option == stsec_ChOneQuestFL_recagain_opt_askspecial,"SetStoryOption stsec_ChOneQuestFL_recagain_opt_doubledown general ""Convinced the receptionist to let you use her computer.""
SetTooltip stsec_ChOneQuestFL_recagain_opt_doubledown""Convince her that this was all just part of the systems test – have to be ready against social engineering attacks as well, after all!""
AdjustRepActivePerson SUSPICIOUS -1","""…""

The receptionist stares you down, clearly not having bought a single word of what you just said.

""A very likely story, considering you were just pleading to gain access to our computers.""","stsec_ChOneQuestFL_recagain_opt_doubledown:""It was actually all a ruse to see if there was a vulnerability to a social engineering attack."" (lie)
stsec_ChOneQuestFL_recagain_opt_leave:Stay quiet and go somewhere else",
stsec_ChOneQuestAskRec_AskAgain_leaveflavour,DialogOptionSelected,$option == stsec_ChOneQuestFL_recagain_opt_leaveflavour,"$option = stsec_ChOneQuestFL_recagain_opt_leave
FireBest DialogOptionSelected",,,
stsec_ChOneQuestAskRec_AskAgain_leave,DialogOptionSelected,$option == stsec_ChOneQuestFL_recagain_opt_leave,"EndConversation
FireAll PopulateOptions",,,
,,,,,,
stsec_ChOneQuestLibraryGo,PopulateOptions,"$id == station_galatia_academy
$global.stsec_chone_notFoundLily == true
$global.stsec_chone_gotLibraryDirections == false
$stsec_chone_knowsLibraryLocation == false",,,stsec_ChOneQuestFL_opt_enter_library:Visit the Library Academia,
stsec_ChOneQuestLibraryGoSmart,PopulateOptions,"$id == station_galatia_academy
$global.stsec_chone_notFoundLily == true
$global.stsec_chone_gotLibraryDirections == true
$stsec_chone_knowsLibraryLocation == false",,,stsec_ChOneQuestFL_opt_enter_librarysmart:Visit the Library Academia,
stsec_ChOneQuestLibraryGoExperienced,PopulateOptions,"$id == station_galatia_academy
$global.stsec_chone_notFoundLily == true
$stsec_chone_knowsLibraryLocation == true",,,stsec_ChOneQuestFL_opt_enter_libraryexperienced:Visit the Library Academia,
stsec_ChOneQuestLibraryEnter,DialogOptionSelected,$option == stsec_ChOneQuestFL_opt_enter_library,"ShowImageVisual library_academia
$stsec_chone_knowsLibraryLocation = true
FireAll STSEC_LibraryWings","After searching around the academy for directions, you eventually find your way to the entrance of the Library Academia. As the doors open before you, you are met with a view most spectacular indeed. Rows and rows of books occupy every direction you look in, while students and professors quietly tread from one end of the library to the other and back.

As the the only scientific academic library in the core, you are currently no doubt standing in one of the most important locations in the entire Persean sector. Funnily enough, though, you are not here for books – you are here to gain access to the Academy network.

You notice that, currently, you are in the main hall of the library, which is further divided into the Western Wing and Eastern Wing.",,
stsec_ChOneQuestLibraryEnterSmart,DialogOptionSelected,$option == stsec_ChOneQuestFL_opt_enter_librarysmart,"ShowImageVisual library_academia
$stsec_chone_knowsLibraryLocation = true
FireAll STSEC_LibraryWings","Using the instructions given to you by the receptionist, you quickly find your way to the entrance of the Library Academia. As the doors open before you, you are met with a view most spectacular indeed. Rows and rows of books occupy every direction you look in, while students and professors quietly tread from one end of the library to the other and back.

As the the only scientific academic library in the core, you are currently no doubt standing in one of the most important locations in the entire Persean sector. Funnily enough, though, you are not here for books – you are here to gain access to the Academy network.

You notice that, currently, you are in the main hall of the library, which is further divided into the Western Wing and Eastern Wing.",,
stsec_ChOneQuestLibraryEnterExperienced,DialogOptionSelected,$option == stsec_ChOneQuestFL_opt_enter_libraryexperienced,"ShowImageVisual library_academia
$stsec_chone_knowsLibraryLocation = true
FireAll STSEC_LibraryWings","Having already learnt the lay of the land, you head directly to the Library Academia. As the doors open before you, you are met with a view most spectacular indeed. Rows and rows of books occupy every direction you look in, while students and professors quietly tread from one end of the library to the other and back.

As the the only scientific academic library in the core, you are currently no doubt standing in one of the most important locations in the entire Persean sector. Funnily enough, though, you are not here for books – you are here to gain access to the Academy network.

You notice that, currently, you are in the main hall of the library, which is further divided into the Western Wing and Eastern Wing.",,
stsec_ChOneQuestLibraryWest_Go,STSEC_LibraryWings,,,,stsec_ChOneQuestFL_lib_opt_gowest:Go to the western wing,
stsec_ChOneQuestLibraryEast_Go,STSEC_LibraryWings,,,,stsec_ChOneQuestFL_lib_opt_goeast:Go to the eastern wing,
stsec_ChOneQuestLibraryExit,STSEC_LibraryWings,,,,stsec_ChOneQuestFL_lib_opt_exit:Leave the Library,
stsec_ChOneQuestLibraryExit_dial,DialogOptionSelected,$option == stsec_ChOneQuestFL_lib_opt_exit,"ShowDefaultVisual
FireAll PopulateOptions",You leave the library.,,
stsec_ChOneQuestLibraryWest_Go_dial,DialogOptionSelected,$option == stsec_ChOneQuestFL_lib_opt_gowest,FireAll STSEC_LibraryWest,You go to the western wing.,,
stsec_ChOneQuestLibraryEast_Go_dial,DialogOptionSelected,$option == stsec_ChOneQuestFL_lib_opt_goeast,FireAll STSEC_LibraryEast,You go to the eastern wing.,,
,,,,,,
stsec_ChOneQuestLibraryWestRight_Go,STSEC_LibraryWest,,,,stsec_ChOneQuestFL_lib_opt_gowestright:Go to the right,
stsec_ChOneQuestLibraryWestLeft_Go,STSEC_LibraryWest,,,,stsec_ChOneQuestFL_lib_opt_gowestleft:Go to the left,
stsec_ChOneQuestLibraryWestRight_Go_dial,DialogOptionSelected,$option == stsec_ChOneQuestFL_lib_opt_gowestright,FireAll STSEC_LibraryWestLeft,You enter the left room. (west),,
stsec_ChOneQuestLibraryWestLeft_Go_dial,DialogOptionSelected,$option == stsec_ChOneQuestFL_lib_opt_gowestleft,FireAll STSEC_LibraryWestRight,You enter the right room. (west),,
,,,,,,
stsec_ChOneQuestLibraryWestRight_Return,STSEC_LibraryWestLeft,,,,stsec_ChOneQuestFL_lib_opt_returnwest:Go back,
stsec_ChOneQuestLibraryWestLeft_Return,STSEC_LibraryWestRight,,,,stsec_ChOneQuestFL_lib_opt_returnwest:Go back,
stsec_ChOneQuestLibraryWestBoth_Return_dial,DialogOptionSelected,$option == stsec_ChOneQuestFL_lib_opt_returnwest,FireAll STSEC_LibraryWest,You go back to the western hall.,,
,,,,,,
stsec_ChOneQuestLibraryEastRight_Go,STSEC_LibraryEast,,,,stsec_ChOneQuestFL_lib_opt_goeastright:Go to the right,
stsec_ChOneQuestLibraryEastLeft_Go,STSEC_LibraryEast,,,,stsec_ChOneQuestFL_lib_opt_goeastleft:Go to the left,
stsec_ChOneQuestLibraryEastRight_Go_dial,DialogOptionSelected,$option == stsec_ChOneQuestFL_lib_opt_goeastright,FireAll STSEC_LibraryEastLeft,You enter the right room. (east),,
stsec_ChOneQuestLibraryEastLeft_Go_dial,DialogOptionSelected,$option == stsec_ChOneQuestFL_lib_opt_goeastleft,FireAll STSEC_LibraryEastRight,You enter the left room. (east),,
,,,,,,
stsec_ChOneQuestLibraryEastRight_Return,STSEC_LibraryEastLeft,,,,stsec_ChOneQuestFL_lib_opt_returneast:Go back,
stsec_ChOneQuestLibraryEastLeft_Return,STSEC_LibraryEastRight,,,,stsec_ChOneQuestFL_lib_opt_returneast:Go back,
stsec_ChOneQuestLibraryEastBoth_Return_dial,DialogOptionSelected,$option == stsec_ChOneQuestFL_lib_opt_returneast,FireAll STSEC_LibraryEast,You go back to the eastern hall.,,
,,,,,,
stsec_ChOneQuestLibraryWestReturn,STSEC_LibraryWest,,,,stsec_ChOneQuestFL_lib_opt_returnhall:Return to the main hall,
stsec_ChOneQuestLibraryEastReturn,STSEC_LibraryEast,,,,stsec_ChOneQuestFL_lib_opt_returnhall:Return to the main hall,
stsec_ChOneQuestLibraryReturn_dial,DialogOptionSelected,$option == stsec_ChOneQuestFL_lib_opt_returnhall,FireAll STSEC_LibraryWings,You return to the library.,,
